INFO 2024-10-29 23:05:37,467 Watching for file changes with StatReloader
INFO 2024-10-29 23:05:39,035 "GET / HTTP/1.1" 302 0
INFO 2024-10-29 23:05:39,067 "GET /accounts/login/?next=/ HTTP/1.1" 200 3981
INFO 2024-10-29 23:05:39,251 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 200 6454
INFO 2024-10-29 23:05:39,257 "GET /static/dist/img/login.png HTTP/1.1" 200 144918
INFO 2024-10-29 23:05:39,260 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 58582
INFO 2024-10-29 23:05:39,261 "GET /static/dist/css/login-page.css HTTP/1.1" 200 9064
INFO 2024-10-29 23:05:39,261 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 200 19736
INFO 2024-10-29 23:05:39,263 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 200 686718
INFO 2024-10-29 23:05:39,278 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 200 13881
INFO 2024-10-29 23:05:39,293 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 200 5253
INFO 2024-10-29 23:05:39,295 "GET /static/dist/js/demo.js HTTP/1.1" 200 13042
INFO 2024-10-29 23:05:39,303 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 200 42395
INFO 2024-10-29 23:05:39,304 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80704
INFO 2024-10-29 23:05:39,310 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 200 88147
INFO 2024-10-29 23:05:39,324 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 79444
INFO 2024-10-29 23:05:39,354 "GET /static/dist/js/adminlte.js HTTP/1.1" 200 59416
WARNING 2024-10-29 23:05:39,485 Not Found: /favicon.ico
WARNING 2024-10-29 23:05:39,485 "GET /favicon.ico HTTP/1.1" 404 6202
INFO 2024-10-29 23:05:42,345 "POST /accounts/login/ HTTP/1.1" 302 0
INFO 2024-10-29 23:05:42,374 "GET / HTTP/1.1" 200 9290
INFO 2024-10-29 23:05:42,409 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 200 25807
INFO 2024-10-29 23:05:42,457 "GET /static/plugins/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 13584
INFO 2024-10-29 23:05:43,615 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 200 2042927
INFO 2024-10-29 23:05:48,194 "GET /staff/list/ HTTP/1.1" 200 9687
INFO 2024-10-29 23:05:48,996 "GET /student/list HTTP/1.1" 200 9946
INFO 2024-10-29 23:05:49,897 "GET /staff/list/ HTTP/1.1" 200 9687
INFO 2024-10-29 23:05:51,621 "GET /finance/list/ HTTP/1.1" 200 9925
INFO 2024-10-29 23:05:52,475 "GET /result/create/ HTTP/1.1" 200 10386
INFO 2024-10-29 23:05:53,141 "GET /result/edit-results/ HTTP/1.1" 200 10104
INFO 2024-10-29 23:05:53,553 "GET /result/view/all HTTP/1.1" 200 8834
INFO 2024-10-29 23:05:55,201 "GET /session/list/ HTTP/1.1" 200 11598
INFO 2024-10-29 23:05:55,933 "GET /site-config HTTP/1.1" 200 10862
INFO 2024-10-29 23:05:56,803 "GET /term/list/ HTTP/1.1" 200 12231
INFO 2024-10-29 23:05:58,157 "GET /subject/list/ HTTP/1.1" 200 11397
INFO 2024-10-29 23:05:59,799 "GET /class/list/ HTTP/1.1" 200 11410
INFO 2024-10-29 23:06:01,437 "GET /site-config HTTP/1.1" 200 10862
INFO 2024-10-29 23:06:04,730 "GET /student/list HTTP/1.1" 200 9946
INFO 2024-10-29 23:06:05,256 "GET / HTTP/1.1" 200 9290
INFO 2024-10-29 23:06:05,755 "GET / HTTP/1.1" 200 9290
INFO 2024-10-29 23:06:06,290 "GET /student/list HTTP/1.1" 200 9946
INFO 2024-10-29 23:06:07,431 "GET /current-session/ HTTP/1.1" 200 10518
INFO 2024-10-29 23:06:09,694 "GET / HTTP/1.1" 200 9290
INFO 2024-10-29 23:06:22,612 "GET / HTTP/1.1" 200 9290
INFO 2024-10-29 23:07:11,760 "GET /finance/list/ HTTP/1.1" 200 9925
INFO 2024-10-29 23:07:11,809 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2024-10-29 23:07:11,812 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2024-10-29 23:07:11,812 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 0
INFO 2024-10-29 23:07:11,813 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 304 0
INFO 2024-10-29 23:07:11,813 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 304 0
INFO 2024-10-29 23:07:11,813 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 304 0
INFO 2024-10-29 23:07:11,813 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 304 0
INFO 2024-10-29 23:07:11,815 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 0
